17:31:48.247 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
17:31:48.260 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
17:31:48.273 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
17:31:48.273 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
17:31:48.273 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000053D4 (PID-specific).
17:31:48.273 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000053D4 (PID-specific) has no value.
17:31:48.273 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
17:31:48.359 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=90ms
17:31:48.359 |V| JetEnvironment                | :1                 | HostInit phase completed.
17:31:48.359 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
17:31:48.371 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin.
17:31:48.381 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
